p sp 32768 524288
a 1 16869 7
a 1 4100 46
a 1 8364 69
a 1 17074 60
a 1 99 8
a 1 17030 74
a 1 32 56
a 1 4103 88
a 1 24737 11
a 1 2514 99
a 1 3094 99
a 1 801 98
a 1 4249 3
a 1 25192 41
a 1 2066 0
a 1 8521 15
a 1 513 58
a 1 4353 79
a 1 16429 11
a 1 130 48
a 1 73 60
a 1 5389 23
a 1 137 18
a 1 470 41
a 1 19505 88
a 1 4289 66
a 1 2051 93
a 1 8197 21
a 1 8760 55
a 1 16452 72
a 1 387 92
a 1 258 93
a 1 1025 7
a 1 18437 38
a 1 3652 87
a 1 23062 74
a 1 4117 57
a 1 7210 0
a 1 12675 68
a 1 9295 67
a 1 2348 91
a 1 637 67
a 1 3 91
a 1 2178 28
a 1 547 57
a 1 10929 32
a 1 1188 19
a 1 2744 45
a 1 1321 92
a 1 259 27
a 1 29 45
a 1 3202 72
a 1 43 42
a 1 13318 63
a 1 114 74
a 1 1062 86
a 1 20946 49
a 1 6596 25
a 1 12393 18
a 1 10761 93
a 1 16961 58
a 1 6714 62
a 1 6339 86
a 1 1289 37
a 1 9701 77
a 1 231 2
a 1 8274 80
a 1 2149 0
a 1 539 91
a 1 2114 85
a 1 4133 77
a 1 4443 15
a 1 16981 39
a 1 9220 71
a 1 17409 72
a 1 20483 52
a 1 16429 91
a 1 2267 33
a 1 11 6
a 1 8961 70
a 1 4130 36
a 1 509 14
a 1 2122 85
a 1 8646 16
a 1 4637 8
a 1 232 69
a 1 26628 39
a 1 308 89
a 1 4609 60
a 1 134 27
a 1 5154 33
a 1 9857 81
a 1 2387 52
a 1 1052 56
a 1 1217 50
a 1 2072 91
a 1 2113 43
a 1 8201 68
a 1 99 52
a 1 20578 54
a 1 9425 53
a 1 4098 46
a 1 386 31
a 1 2065 26
a 1 2153 18
a 1 16514 15
a 1 8195 10
a 1 2061 27
a 1 18451 27
a 1 2625 68
a 1 18434 45
a 1 2148 32
a 1 4105 6
a 1 2605 6
a 1 20534 78
a 1 9346 16
a 1 2146 83
a 1 601 8
a 1 4648 93
a 1 1287 48
a 1 11939 58
a 1 17563 69
a 1 897 2
a 1 161 72
a 1 18946 22
a 1 536 96
a 1 16407 99
a 1 65 28
a 1 433 47
a 1 2050 59
a 1 28075 80
a 1 19457 39
a 1 2821 42
a 1 3073 53
a 1 1089 79
a 1 21 86
a 1 24851 81
a 1 24029 14
a 1 18693 87
a 1 673 59
a 1 46 61
a 1 18273 54
a 1 19070 58
a 1 1945 26
a 1 405 95
a 1 26627 18
a 1 8257 95
a 1 265 97
a 1 16426 89
a 1 3345 77
a 1 4753 51
a 1 4258 42
a 1 27693 60
a 1 4119 94
a 1 4611 78
a 1 14914 12
a 1 7453 78
a 1 4166 16
a 1 10257 97
a 1 705 14
a 1 8923 38
a 1 2325 89
a 1 4961 87
a 1 559 76
a 1 8245 54
a 1 1043 77
a 1 585 52
a 1 2069 40
a 1 325 25
a 1 18530 26
a 1 333 61
a 1 451 59
a 1 1025 84
a 1 9221 52
a 1 8868 30
a 1 22549 92
a 1 16387 50
a 1 9009 7
a 1 18471 55
a 1 8706 57
a 1 4740 56
a 1 8599 46
a 1 4 85
a 1 269 66
a 1 2269 25
a 1 18951 2
a 1 5167 80
a 1 8963 71
a 1 25 57
a 1 18780 11
a 1 17953 19
a 1 20750 68
a 1 14225 0
a 1 9153 62
a 1 1889 72
a 1 7960 41
a 1 2 8
a 1 1109 43
a 1 16550 50
a 1 4865 66
a 1 23646 42
a 1 22534 14
a 1 11329 45
a 1 4233 30
a 1 9283 36
a 1 2082 26
a 1 24578 29
a 1 9 33
a 1 16485 44
a 1 7431 20
a 1 5202 61
a 1 3655 65
a 1 4356 54
a 1 16689 92
a 1 10898 83
a 1 2405 46
a 1 8513 84
a 1 26690 95
a 1 3441 47
a 1 14 11
a 1 2193 75
a 1 6489 98
a 1 8820 94
a 1 16926 83
a 1 22057 48
a 1 12338 96
a 1 20994 61
a 1 6193 17
a 1 4301 7
a 1 5140 70
a 1 6290 60
a 1 14374 66
a 1 16393 99
a 1 662 15
a 1 129 99
a 1 10378 92
a 1 35 97
a 1 12489 69
a 1 1161 99
a 1 1281 24
a 1 8199 31
a 1 8835 48
a 1 8453 2
a 1 4141 99
a 1 1550 77
a 1 449 24
a 1 5179 53
a 1 2369 69
a 1 18446 36
a 1 1153 42
a 1 4106 44
a 1 10273 79
a 1 257 85
a 1 9581 10
a 1 4178 33
a 1 9217 89
a 1 16390 16
a 1 4631 90
a 1 4419 86
a 1 4121 73
a 1 8281 61
a 1 75 85
a 1 4164 84
a 1 12371 80
a 1 8609 93
a 1 10817 50
a 1 28991 55
a 1 8357 69
a 1 2446 88
a 1 10961 39
a 1 27970 47
a 1 1189 15
a 1 8856 24
a 1 3074 49
a 1 12321 90
a 1 1562 38
a 1 2071 63
a 1 1081 86
a 1 273 50
a 1 3080 25
a 1 2073 89
a 1 385 41
a 1 1291 54
a 1 517 21
a 1 10265 25
a 1 533 53
a 1 4609 62
a 1 1348 50
a 1 8395 42
a 1 3586 3
a 1 3383 84
a 1 24708 8
a 1 2602 76
a 1 19735 49
a 1 16949 64
a 1 433 57
a 1 4108 38
a 1 299 16
a 1 20571 61
a 1 17944 86
a 1 17229 10
a 1 1057 4
a 1 12629 97
a 1 21560 12
a 1 8361 24
a 1 26945 68
a 1 514 89
a 1 16985 95
a 1 16938 47
a 1 26830 41
a 1 8717 33
a 1 24837 18
a 1 450 34
a 1 6946 34
a 1 20501 31
a 1 546 59
a 1 401 68
a 1 4098 77
a 1 1117 4
a 1 23076 12
a 1 273 56
a 1 28 98
a 1 513 67
a 1 3233 27
a 1 4395 2
a 1 4169 6
a 1 24044 6
a 1 1249 79
a 1 337 81
a 1 9345 48
a 1 2118 83
a 1 13316 7
a 1 547 67
a 1 6657 22
a 1 11618 72
a 1 13 99
a 1 8387 86
a 1 28742 27
a 1 8389 31
a 1 13362 53
a 1 28769 61
a 1 18694 39
a 1 17297 47
a 1 1569 22
a 1 38 27
a 1 2313 27
a 1 21020 67
a 1 18571 4
a 1 340 52
a 1 133 10
a 1 33 14
a 1 16 73
a 1 19461 52
a 1 10443 26
a 1 9682 38
a 1 12518 69
a 1 6691 49
a 1 1057 43
a 1 6913 48
a 1 9482 46
a 1 8449 73
a 1 10249 83
a 1 8467 40
a 1 29699 21
a 1 4296 63
a 1 8194 58
a 1 14379 65
a 1 17452 79
a 1 12 77
a 1 12885 45
a 1 665 24
a 1 56 93
a 1 20105 80
a 1 641 74
a 1 16537 19
a 1 18563 20
a 1 5138 18
a 1 13977 31
a 1 4548 38
a 1 5299 71
a 1 2599 99
a 1 5 88
a 1 8470 88
a 1 4993 95
a 1 16617 98
a 1 24841 74
a 1 2468 11
a 1 1026 26
a 1 268 51
a 1 4620 11
a 1 13358 77
a 1 8241 4
a 1 9121 82
a 1 2253 0
a 1 8335 17
a 1 5321 79
a 1 10287 6
a 1 7233 92
a 1 193 27
a 1 22151 99
a 1 2433 39
a 1 37 46
a 1 7347 23
a 1 5269 82
a 1 3716 84
a 1 30082 63
a 1 8964 80
a 1 8466 89
a 1 17361 81
a 1 2529 60
a 1 8323 71
a 1 16385 87
a 1 16497 79
a 1 8406 14
a 1 414 44
a 1 1059 7
a 1 3077 32
a 1 2081 25
a 1 8227 52
a 1 1028 25
a 1 13657 5
a 1 2204 57
a 1 4445 52
a 1 577 34
a 1 6151 85
a 1 2757 9
a 1 20609 23
a 1 17716 32
a 1 2609 8
a 1 8522 40
a 1 4111 13
a 1 20 44
a 1 2305 71
a 1 16521 1
a 1 2487 34
a 1 4639 92
a 1 97 34
a 1 4230 83
a 1 8769 87
a 1 10755 55
a 1 15978 56
a 1 3073 65
a 1 4234 37
a 1 14851 10
a 1 17093 34
a 1 37 65
a 1 10753 21
a 1 7169 10
a 1 16454 80
a 1 2556 82
a 1 5633 71
a 1 10642 28
a 1 2 77
a 1 17714 27
a 1 1193 6
a 1 1608 47
a 1 10497 19
a 1 2565 57
a 1 4495 49
a 1 3205 64
a 1 41 28
a 1 1845 29
a 1 22541 68
a 1 4121 78
a 1 3611 17
a 1 327 60
a 1 3873 34
a 1 298 27
a 1 285 65
a 1 2563 47
a 1 1042 35
a 1 13387 63
a 1 4099 23
a 1 754 38
a 1 15 34
a 1 16422 3
a 1 582 3
a 1 16018 90
a 1 645 32
a 1 29341 66
a 1 6180 73
a 1 2605 20
a 1 545 80
a 1 11806 89
a 1 2322 14
a 1 290 58
a 1 167 38
a 1 18433 70
a 1 321 37
a 1 8337 75
a 1 3202 93
a 1 16771 6
a 1 2258 6
a 1 17290 9
a 1 4225 60
a 1 3097 57
a 1 26118 10
a 1 16395 77
a 1 209 52
a 1 4933 27
a 1 31563 91
a 1 1033 30
a 1 1605 63
a 1 24679 8
a 1 8261 71
a 1 17921 21
a 1 6444 24
a 1 6039 46
a 1 12291 20
a 1 6411 0
a 1 1169 85
a 1 5141 67
a 1 12555 34
a 1 264 34
a 1 2760 69
a 1 146 1
a 1 14383 96
a 1 43 85
a 1 8337 85
a 1 14497 79
a 1 4123 99
a 1 9 57
a 1 1345 48
a 1 8993 82
a 1 5186 21
a 1 1091 61
a 1 1075 64
a 1 29258 42
a 1 163 90
a 1 2126 89
a 1 7681 3
a 1 10861 40
a 1 14361 99
a 1 2273 89
a 1 145 28
a 1 8276 77
a 1 2057 82
a 1 10282 29
a 1 19029 78
a 1 3340 14
a 1 17025 0
a 1 4674 24
a 1 284 60
a 1 8325 90
a 1 1388 10
a 1 406 96
a 1 1545 78
a 1 133 69
a 1 16713 84
a 1 8705 4
a 1 20749 47
a 1 110 59
a 1 16415 82
a 1 2709 43
a 1 6501 20
a 1 16388 58
a 1 4612 61
a 1 20521 30
a 1 30821 5
a 1 39 6
a 1 20993 31
a 1 197 40
a 1 4161 71
a 1 2629 47
a 1 20545 45
a 1 16788 41
a 1 25107 34
a 1 517 56
a 1 58 59
a 1 9185 40
a 1 4645 79
a 1 17 10
a 1 647 73
a 1 8517 18
a 1 9435 87
a 1 24876 36
a 1 23682 80
a 1 3362 97
a 1 25873 95
a 1 12930 84
a 1 9498 23
a 1 139 67
a 1 17187 50
a 1 537 74
a 1 16742 90
a 1 5379 79
a 1 289 27
a 1 2357 96
a 1 19494 60
a 1 17165 90
a 1 18571 50
a 1 5635 75
a 1 2049 92
a 1 18059 28
a 1 24689 97
a 1 3155 94
a 1 9361 75
a 1 8195 21
a 1 591 33
a 1 1121 64
a 1 531 89
a 1 2580 20
a 1 6156 4
a 1 10242 72
a 1 8241 68
a 1 17 85
a 1 23 76
a 1 86 34
a 1 5253 73
a 1 7426 35
a 1 24729 78
a 1 16481 36
a 1 2055 52
a 1 13826 15
a 1 1603 45
a 1 7265 44
a 1 14596 63
a 1 105 67
a 1 4246 66
a 1 4673 35
a 1 20227 58
a 1 21610 65
a 1 2731 86
a 1 5221 81
a 1 515 14
a 1 17763 55
a 1 3908 66
a 1 773 63
a 1 6722 45
a 1 870 57
a 1 33 87
a 1 3340 54
a 1 26653 79
a 1 4257 45
a 1 1053 2
a 1 2194 78
a 1 24651 26
a 1 25453 25
a 1 599 78
a 1 1033 63
a 1 9025 31
a 1 262 26
a 1 651 94
a 1 7175 44
a 1 10243 20
a 1 1031 40
a 1 8213 25
a 1 24941 44
a 1 5034 52
a 1 18 28
a 1 1665 52
a 1 33 94
a 1 4111 28
a 1 12401 69
a 1 9027 86
a 1 11539 80
a 1 786 68
a 1 6284 72
a 1 1188 44
a 1 2546 15
a 1 8242 66
a 1 25857 35
a 1 4310 33
a 1 8533 70
a 1 27096 33
a 1 587 43
a 1 11 18
a 1 9066 41
a 1 23555 41
a 1 8843 67
a 1 16913 86
a 1 3793 80
a 1 34 84
a 1 18 29
a 1 10308 41
a 1 323 2
a 1 10 8
a 1 157 35
a 1 403 77
a 1 1803 93
a 1 170 56
a 1 57 91
a 1 397 91
a 1 17553 35
a 1 835 85
a 1 2116 15
a 1 243 56
a 1 8364 78
a 1 8473 82
a 1 4689 60
a 1 952 39
a 1 5393 87
a 1 17697 88
a 1 24610 53
a 1 1539 67
a 1 1346 39
a 1 4265 33
a 1 2113 71
a 1 5185 29
a 1 2817 62
a 1 27139 14
a 1 8457 94
a 1 10753 80
a 1 9735 26
a 1 12769 28
a 1 26170 17
a 1 22737 29
a 1 2061 78
a 1 321 98
a 1 8277 3
a 1 7385 13
a 1 5522 41
a 1 2307 13
a 1 9729 24
a 1 16535 18
a 1 28673 97
a 1 3558 56
a 1 23819 81
a 1 3082 32
a 1 25682 35
a 1 2567 13
a 1 2313 52
a 1 3842 45
a 1 7082 9
a 1 1500 85
a 1 9761 71
a 1 17033 34
a 1 4259 38
a 1 5642 14
a 1 1800 18
a 1 666 30
a 1 9734 48
a 1 2053 70
a 1 1828 51
a 1 2575 11
a 1 5149 90
a 1 4102 46
a 1 26629 11
a 1 646 27
a 1 9317 95
a 1 74 71
a 1 4114 39
a 1 3234 94
a 1 553 1
a 1 10275 77
a 1 1405 5
a 1 24593 92
a 1 8789 22
a 1 8194 63
a 1 528 5
a 1 2085 96
a 1 322 81
a 1 860 50
a 1 24795 88
a 1 1669 81
a 1 331 82
a 1 8517 89
a 1 10905 92
a 1 1029 0
a 1 13394 24
a 1 31771 64
a 1 2593 33
a 1 14879 23
a 1 8972 30
a 1 521 52
a 1 553 44
a 1 133 72
a 1 8225 23
a 1 81 32
a 1 4615 60
a 1 1283 15
a 1 8207 67
a 1 145 70
a 1 9766 64
a 1 17037 3
a 1 8577 18
a 1 55 88
a 1 17225 23
a 1 18661 6
a 1 13444 91
a 1 24723 5
a 1 4102 92
a 1 154 65
a 1 9445 14
a 1 9541 20
a 1 2094 15
a 1 17093 68
a 1 16422 67
a 1 6787 69
a 1 8643 11
a 1 2309 20
a 1 1114 1
a 1 29699 72
a 1 6169 63
a 1 9236 43
a 1 172 41
a 1 15902 22
a 1 194 90
a 1 10370 77
a 1 1058 4
a 1 20636 70
a 1 16642 0
a 1 1353 95
a 1 6178 60
a 1 277 33
a 1 5377 17
a 1 8707 36
a 1 16993 43
a 1 24589 36
a 1 9272 36
a 1 4105 72
a 1 260 14
a 1 3458 85
a 1 26270 51
a 1 179 12
a 1 8204 83
a 1 16420 9
a 1 16513 38
a 1 18113 96
a 1 20833 64
a 1 17426 69
a 1 1213 49
a 1 17058 10
a 1 1125 99
a 1 5122 30
a 1 16401 60
a 1 10562 36
a 1 2358 3
a 1 20802 67
a 1 1049 93
a 1 259 33
a 1 8322 10
a 1 20821 98
a 1 367 29
a 1 28753 6
a 1 21529 36
a 1 14339 0
a 1 183 93
a 1 4165 86
a 1 22227 17
a 1 19113 89
a 1 261 26
a 1 17953 66
a 1 16392 71
a 1 31761 89
a 1 593 80
a 1 3140 7
a 1 3297 13
a 1 395 12
a 1 10337 87
a 1 18556 23
a 1 2574 30
a 1 13583 17
a 1 29106 2
a 1 6145 12
a 1 3076 43
a 1 2241 78
a 1 27811 44
a 1 21545 5
a 1 3006 8
a 1 8906 76
a 1 82 76
a 1 3249 31
a 1 3749 71
a 1 2155 69
a 1 4169 19
a 1 4097 86
a 1 1118 41
a 1 17473 14
a 1 28738 79
a 1 8235 14
a 1 25411 70
a 1 24627 12
a 1 1537 81
a 1 16389 88
a 1 4291 20
a 1 1037 81
a 1 49 88
a 1 2060 54
a 1 675 58
a 1 2147 84
a 1 29282 45
a 1 20529 74
a 1 2571 99
a 1 1060 56
a 1 25123 18
a 1 13330 49
a 1 3145 82
a 1 12486 6
a 1 3085 7
a 1 8322 91
a 1 2818 3
a 1 526 35
a 1 282 44
a 1 1524 72
a 1 3113 83
a 1 11752 15
a 1 21009 54
a 1 89 71
a 1 1241 47
a 1 4434 77
a 1 2938 47
a 1 25738 24
a 1 2436 83
a 1 1954 26
a 1 6163 26
a 1 16577 46
a 1 4279 81
a 1 226 74
a 1 394 84
a 1 16987 78
a 1 9509 97
a 1 4170 69
a 1 23876 23
a 1 8473 93
a 1 100 24
a 1 19125 73
a 1 18438 12
a 1 8381 5
a 1 8529 62
a 1 962 74
a 1 5186 73
a 1 2161 91
a 1 1137 10
a 1 4159 63
a 1 4724 32
a 1 9169 91
a 1 12593 96
a 1 3301 54
a 1 28750 39
a 1 5217 88
a 1 12836 68
a 1 11653 95
a 1 1252 21
a 1 10914 79
a 1 17525 5
a 1 169 57
a 1 6273 14
a 1 22530 96
a 1 451 69
a 1 24711 31
a 1 22601 93
a 1 2605 47
a 1 2262 9
a 1 6469 12
a 1 18945 70
a 1 516 90
a 1 2694 15
a 1 263 71
a 1 1377 89
a 1 4104 90
a 1 17045 90
a 1 2251 47
a 1 642 87
a 1 36 63
a 1 16421 64
a 1 17443 36
a 1 26653 88
a 1 13603 40
a 1 6741 20
a 1 6483 1
a 1 8586 25
a 1 17283 80
a 1 138 26
a 1 1193 77
a 1 67 90
a 1 2561 76
a 1 1381 51
a 1 16900 40
a 1 10276 60
a 1 5530 17
a 1 17987 13
a 1 2143 53
a 1 610 33
a 1 4386 53
a 1 1553 59
a 1 24706 45
a 1 16483 95
a 1 1034 3
a 1 19489 78
a 1 6236 74
a 1 10261 56
a 1 8451 96
a 1 1593 69
a 1 12577 13
a 1 16935 39
a 1 1074 6
a 1 5539 62
a 1 822 52
a 1 2185 81
a 1 8327 10
a 1 273 85
a 1 2117 67
a 1 1449 7
a 1 13602 80
a 1 1579 37
a 1 203 68
a 1 66 46
a 1 3778 23
a 1 135 49
a 1 8821 30
a 1 19777 17
a 1 8481 79
a 1 1029 70
a 1 18476 46
a 1 28677 85
a 1 2337 24
a 1 4262 59
a 1 1836 99
a 1 21569 43
a 1 179 65
a 1 16715 13
a 1 16685 70
a 1 14357 75
a 1 519 98
a 1 17164 34
a 1 515 18
a 1 1179 63
a 1 1299 95
a 1 1863 52
a 1 2634 54
a 1 262 31
a 1 7113 64
a 1 3267 40
a 1 20673 98
a 1 4625 83
a 1 10118 88
a 1 523 79
a 1 17799 16
a 1 10274 46
a 1 1169 89
a 1 82 97
a 1 16641 84
a 1 8667 18
a 1 8707 37
a 1 2370 52
a 1 2569 15
a 1 4149 82
a 1 16549 49
a 1 2106 16
a 1 4875 86
a 1 5 90
a 1 18249 80
a 1 1673 83
a 1 8193 59
a 1 10273 83
a 1 10889 87
a 1 13377 17
a 1 4257 53
a 1 2707 34
a 1 1843 71
a 1 18962 71
a 1 8795 49
a 1 16509 58
a 1 1167 81
a 1 16417 63
a 1 9155 94
a 1 7754 12
a 1 609 45
a 1 1041 6
a 1 1260 0
a 1 20042 3
a 1 24690 85
a 1 9378 62
a 1 17551 94
a 1 4115 55
a 1 4354 2
a 1 14345 66
a 1 23842 86
a 1 3131 56
a 1 7189 73
a 1 817 72
a 1 16778 35
a 1 4275 54
a 1 5270 48
a 1 2675 49
a 1 22919 40
a 1 10305 62
a 1 9609 44
a 1 4100 64
a 1 18913 73
a 1 12549 70
a 1 20995 51
a 1 12311 33
a 1 2178 34
a 1 26629 43
a 1 4099 85
a 1 12547 97
a 1 9510 23
a 1 3329 30
a 1 425 54
a 1 5795 42
a 1 2067 60
a 1 26765 92
a 1 633 51
a 1 20548 57
a 1 12618 68
a 1 2385 0
a 1 2129 20
a 1 16498 39
a 1 277 79
a 1 8708 87
a 1 805 10
a 1 6402 56
a 1 16543 22
a 1 16837 42
a 1 10885 69
a 1 1067 60
a 1 30379 46
a 1 578 71
a 1 18537 63
a 1 5829 14
a 1 2082 29
a 1 24635 10
a 1 6165 5
a 1 11523 32
a 1 3525 17
a 1 15233 85
a 1 2050 98
a 1 24876 66
a 1 15764 9
a 1 577 87
a 1 24649 96
a 1 4416 14
a 1 2699 56
a 1 4485 3
a 1 8740 75
a 1 1063 93
a 1 5350 1
a 1 13058 15
a 1 10956 54
a 1 5928 35
a 1 5130 93
a 1 12 81
a 1 24865 65
a 1 8259 59
a 1 634 68
a 1 3278 92
a 1 25153 58
a 1 8220 99
a 1 18999 42
a 1 5137 24
a 1 21511 90
a 1 19713 71
a 1 131 50
a 1 9285 32
a 1 10011 73
a 1 8291 91
a 1 11294 88
a 1 6218 35
a 1 1121 95
a 1 11541 91
a 1 2306 17
a 1 1938 85
a 1 9094 85
a 1 7827 52
a 1 148 82
a 1 2438 94
a 1 2626 23
a 1 14514 93
a 1 283 25
a 1 14607 97
a 1 12290 96
a 1 6589 22
a 1 10429 80
a 1 11340 44
a 1 2187 91
a 1 16705 70
a 1 16582 79
a 1 21785 89
a 1 162 2
a 1 1307 2
a 1 2628 53
a 1 17577 12
a 1 2650 91
a 1 8547 93
a 1 9485 56
a 1 2569 49
a 1 8459 97
a 1 5644 52
a 1 2373 54
a 1 10737 37
a 1 89 87
a 1 9136 1
a 1 2225 58
a 1 517 94
a 1 8796 58
a 1 4146 63
a 1 9513 37
a 1 635 50
a 1 981 63
a 1 16902 49
a 1 14504 0
a 1 14979 44
a 1 9366 96
a 1 2532 57
a 1 17446 2
a 1 2153 87
a 1 17465 96
a 1 66 89
a 1 10373 40
a 1 2249 86
a 1 16402 74
a 1 7441 23
a 1 3540 48
a 1 4504 18
a 1 25307 4
a 1 17665 34
a 1 5155 35
a 1 1042 48
a 1 9243 73
a 1 8361 43
a 1 10255 71
a 1 8710 27
a 1 6 40
a 1 657 72
a 1 17454 34
a 1 44 73
a 1 4521 96
a 1 2585 60
a 1 8243 96
a 1 569 99
a 1 12577 53
a 1 8570 49
a 1 9904 64
a 1 4481 96
a 1 21062 69
a 1 25664 95
a 1 2248 55
a 1 24745 39
a 1 8333 35
a 1 133 98
a 1 514 93
a 1 8353 91
a 1 4113 89
a 1 4245 6
a 1 2507 44
a 1 8450 77
a 1 25361 49
a 1 1048 51
a 1 296 59
a 1 6533 52
a 1 6165 24
a 1 5441 53
a 1 3098 25
a 1 522 28
a 1 16441 11
a 1 1349 18
a 1 17137 71
a 1 12808 32
a 1 13442 40
a 1 17857 97
a 1 3141 87
a 1 4469 73
a 1 2189 84
a 1 3433 6
a 1 8193 99
a 1 9223 1
a 1 13316 98
a 1 5762 47
a 1 1286 46
a 1 17433 1
a 1 17027 54
a 1 7433 50
a 1 10450 28
a 1 9827 68
a 1 2865 16
a 1 2070 93
a 1 18 84
a 1 16449 11
a 1 4129 66
a 1 23313 58
a 1 6241 49
a 1 16467 84
a 1 1032 60
a 1 16434 35
a 1 746 49
a 1 3142 98
a 1 20513 30
a 1 1793 0
a 1 1130 63
a 1 1155 41
a 1 25739 25
a 1 7685 45
a 1 6273 24
a 1 2163 44
a 1 132 64
a 1 24601 72
a 1 2678 62
a 1 137 86
a 1 1542 81
a 1 12353 1
a 1 4484 69
a 1 19737 17
a 1 5250 38
a 1 26175 97
a 1 7249 2
a 1 18469 27
a 1 8211 21
a 1 8195 26
a 1 9987 35
a 1 4007 17
a 1 10260 5
a 1 2105 40
a 1 8289 98
a 1 6932 50
a 1 19781 14
a 1 12477 90
a 1 513 89
a 1 8633 97
a 1 16579 4
a 1 663 96
a 1 4226 48
a 1 24705 30
a 1 6190 15
a 1 16922 48
a 1 3595 22
a 1 146 87
a 1 54 8
a 1 8225 67
a 1 20658 87
a 1 2310 89
a 1 21566 4
a 1 709 40
a 1 20843 1
a 1 6208 31
a 1 1187 82
a 1 6580 16
a 1 197 79
a 1 10433 35
a 1 15 39
a 1 18459 56
a 1 6161 17
a 1 9736 40
a 1 20483 70
a 1 22853 85
a 1 518 64
a 1 3665 2
a 1 5153 37
a 1 3587 78
a 1 8736 81
a 1 3459 57
a 1 9481 39
a 1 1162 54
a 1 4690 21
a 1 1303 29
a 1 4226 83
a 1 8210 91
a 1 1907 50
a 1 11834 23
a 1 21195 92
a 1 8963 97
a 1 12 94
a 1 4617 98
a 1 1057 67
a 1 12292 65
a 1 1233 12
a 1 10386 56
a 1 16524 39
a 1 8460 0
a 1 4362 1
a 1 1153 58
a 1 19585 40
a 1 1 98
a 1 2662 52
a 1 58 67
a 1 30817 29
a 1 5793 94
a 1 6470 9
a 1 3272 22
a 1 483 60
a 1 3107 84
a 1 6738 54
a 1 6 78
a 1 1112 75
a 1 263 75
a 1 2340 13
a 1 16461 7
a 1 41 76
a 1 26625 40
a 1 3463 81
a 1 4569 53
a 1 34 99
a 1 1697 43
a 1 21343 63
a 1 4738 80
a 1 65 64
a 1 72 29
a 1 1026 99
a 1 4641 88
a 1 338 94
a 1 16403 29
a 1 10721 24
a 1 2142 62
a 1 6585 4
a 1 1293 43
a 1 10 46
a 1 2265 64
a 1 11417 75
a 1 27670 43
a 1 29193 87
a 1 5154 80
a 1 16386 50
a 1 305 76
a 1 28749 95
a 1 141 69
a 1 8930 48
a 1 135 84
a 1 21521 74
a 1 7 87
a 1 1058 33
a 1 19989 48
a 1 6575 10
a 1 3553 99
a 1 16449 53
a 1 1051 75
a 1 16406 77
a 1 9513 92
a 1 4701 98
a 1 4431 8
a 1 2309 21
a 1 898 48
a 1 2140 49
a 1 2450 45
a 1 4171 60
a 1 8285 0
a 1 202 33
a 1 4161 85
a 1 16418 91
a 1 5574 22
a 1 522 73
a 1 6449 61
a 1 16392 80
a 1 5811 92
a 1 845 29
a 1 23050 59
a 1 24577 27
a 1 73 81
a 1 9031 47
a 1 12929 51
a 1 6152 6
a 1 4179 79
a 1 396 74
a 1 7939 96
a 1 5237 98
a 1 3076 52
a 1 8554 94
a 1 1099 52
a 1 16431 45
a 1 16681 33
a 1 3217 78
a 1 18445 94
a 1 389 98
a 1 12299 42
a 1 901 39
a 1 8772 80
a 1 9377 38
a 1 20554 13
a 1 20997 85
a 1 2379 67
a 1 2345 44
a 1 102 10
a 1 4231 39
a 1 4433 89
a 1 20531 43
a 1 8354 94
